transaction_id,customer_id,transaction_date,category,channel,amount_sgd
TXN500000,CUST103164,2026-06-18,Electronics,Online,557.03
TXN500001,CUST102172,2026-02-18,Beauty,In-Store,118.98
TXN500002,CUST102391,2025-09-27,Electronics,Online,289.72
TXN500003,CUST101765,2026-05-03,Electronics,Online,812.19
TXN500004,CUST100986,2026-03-27,Fashion,In-Store,60.77
TXN500005,CUST100212,2025-12-10,Sports & Outdoors,In-Store,40.24
TXN500006,CUST101590,2025-08-11,Beauty,In-Store,55.99
TXN500007,CUST102979,2026-01-29,Groceries,In-Store,13.9
TXN500008,CUST104020,2025-10-09,Toys & Baby,Online,99.73
TXN500009,CUST104420,2026-02-22,Toys & Baby,In-Store,13.23
TXN500010,CUST103585,2025-12-03,Electronics,Online,714.02
TXN500011,CUST100709,2025-09-30,Electronics,In-Store,765.27
TXN500012,CUST102594,2025-09-11,Toys & Baby,Online,36.84
TXN500013,CUST104023,2025-08-29,Home & Living,In-Store,272.87
TXN500014,CUST104476,2025-09-17,Sports & Outdoors,Online,152.62
TXN500015,CUST101950,2026-02-13,Beauty,Online,109.92
TXN500016,CUST105584,2026-06-22,Sports & Outdoors,In-Store,39.67
TXN500017,CUST104796,2026-07-18,Home & Living,Online,119.93
TXN500018,CUST105131,2025-08-01,Home & Living,Online,70.94
TXN500019,CUST104018,2025-09-12,Toys & Baby,Online,51.15
TXN500020,CUST102484,2026-04-13,Beauty,In-Store,61.95
TXN500021,CUST105617,2026-07-14,Groceries,Online,21.81
TXN500022,CUST105425,2025-12-28,Home & Living,Online,220.08
TXN500023,CUST104987,2026-02-16,Electronics,In-Store,818.39
TXN500024,CUST105367,2026-01-30,Toys & Baby,Online,66.7
TXN500025,CUST105512,2026-03-30,Beauty,In-Store,102.72
TXN500026,CUST104494,2026-07-27,Home & Living,Online,201.83
TXN500027,CUST101208,2026-03-20,Home & Living,In-Store,258.84
TXN500028,CUST103231,2026-03-02,Toys & Baby,In-Store,61.66
TXN500029,CUST103712,2025-12-08,Beauty,Online,29.87
TXN500030,CUST104653,2026-05-05,Fashion,Online,45.53
TXN500031,CUST102973,2025-09-20,Home & Living,In-Store,120.41
TXN500032,CUST103071,2025-10-03,Electronics,Online,217.45
TXN500033,CUST105974,2025-11-09,Sports & Outdoors,In-Store,60.3
TXN500034,CUST102718,2026-03-14,Beauty,Online,116.35
TXN500035,CUST100791,2026-02-20,Home & Living,Online,108.91
TXN500036,CUST104283,2025-08-20,Sports & Outdoors,In-Store,247.51
TXN500037,CUST102176,2025-10-21,Electronics,Online,828.39
TXN500038,CUST101494,2026-01-02,Electronics,Online,587.0
TXN500039,CUST103789,2025-12-06,Electronics,Online,418.84
TXN500040,CUST105731,2025-08-07,Home & Living,In-Store,146.54
TXN500041,CUST101882,2026-01-31,Electronics,Online,160.45
TXN500042,CUST102232,2026-03-20,Fashion,In-Store,29.86
TXN500043,CUST102799,2026-03-30,Toys & Baby,Online,48.53
TXN500044,CUST104154,2025-09-14,Fashion,Online,136.89
TXN500045,CUST102376,2026-02-01,Toys & Baby,In-Store,95.02
TXN500046,CUST102556,2026-03-16,Sports & Outdoors,Online,53.83
TXN500047,CUST104227,2025-10-15,Groceries,Online,39.03
TXN500048,CUST105916,2025-09-23,Sports & Outdoors,In-Store,212.92
TXN500049,CUST101904,2025-11-21,Beauty,In-Store,81.89
TXN500050,CUST103521,2025-09-14,Beauty,Online,41.48
TXN500051,CUST104790,2025-10-08,Electronics,Online,864.42
TXN500052,CUST101277,2025-11-27,Electronics,In-Store,887.43
TXN500053,CUST104929,2025-08-04,Beauty,Online,59.57
TXN500054,CUST102130,2026-03-14,Groceries,Online,13.77
TXN500055,CUST100680,2025-08-09,Home & Living,Online,91.94
TXN500056,CUST100149,2026-03-29,Beauty,Online,109.04
TXN500057,CUST100203,2025-08-28,Home & Living,Online,241.29
TXN500058,CUST104811,2025-11-18,Groceries,In-Store,26.39
TXN500059,CUST104070,2025-10-27,Electronics,Online,477.43
TXN500060,CUST104785,2025-08-02,Toys & Baby,Online,86.89
TXN500061,CUST104532,2025-08-01,Groceries,Online,26.47
TXN500062,CUST102287,2025-08-29,Sports & Outdoors,Online,209.92
TXN500063,CUST105610,2026-02-06,Fashion,Online,111.08
TXN500064,CUST105288,2026-02-07,Groceries,Online,46.48
TXN500065,CUST102094,2026-06-07,Electronics,In-Store,111.72
TXN500066,CUST104652,2026-03-12,Electronics,Online,542.29
TXN500067,CUST104935,2025-10-08,Groceries,Online,57.22
TXN500068,CUST102935,2025-12-26,Groceries,Online,56.93
TXN500069,CUST100733,2026-05-27,Electronics,In-Store,835.85
TXN500070,CUST102006,2026-04-08,Fashion,In-Store,93.82
TXN500071,CUST105937,2026-01-23,Fashion,Online,138.16
TXN500072,CUST104321,2026-04-14,Sports & Outdoors,Online,138.33
TXN500073,CUST104662,2025-09-03,Groceries,Online,8.71
TXN500074,CUST105485,2025-10-04,Groceries,Online,46.4
TXN500075,CUST101224,2025-10-16,Home & Living,In-Store,179.75
TXN500076,CUST105811,2025-10-03,Fashion,In-Store,124.2
TXN500077,CUST103102,2026-04-05,Fashion,Online,68.47
TXN500078,CUST104485,2026-06-05,Fashion,In-Store,114.89
TXN500079,CUST101915,2026-05-05,Toys & Baby,Online,40.87
TXN500080,CUST101978,2026-06-05,Beauty,Online,96.86
TXN500081,CUST102157,2025-12-19,Toys & Baby,Online,40.74
TXN500082,CUST102092,2026-05-03,Toys & Baby,In-Store,62.92
TXN500083,CUST100382,2025-10-26,Fashion,In-Store,98.53
TXN500084,CUST101862,2025-10-07,Electronics,In-Store,223.74
TXN500085,CUST103901,2025-10-23,Home & Living,In-Store,180.76
TXN500086,CUST105427,2026-04-09,Groceries,Online,47.53
TXN500087,CUST100253,2025-10-23,Beauty,In-Store,43.65
TXN500088,CUST100097,2026-05-23,Fashion,In-Store,126.09
TXN500089,CUST103565,2026-07-28,Fashion,In-Store,100.98
TXN500090,CUST104218,2025-11-23,Fashion,In-Store,98.7
TXN500091,CUST103667,2025-11-16,Beauty,Online,84.79
TXN500092,CUST105838,2025-10-12,Fashion,Online,119.38
TXN500093,CUST101378,2025-12-02,Groceries,Online,47.45
TXN500094,CUST102895,2026-02-01,Fashion,Online,73.12
TXN500095,CUST105507,2026-03-05,Electronics,Online,724.08
TXN500096,CUST103721,2025-11-14,Fashion,Online,94.21
TXN500097,CUST103473,2025-07-30,Fashion,Online,79.64
TXN500098,CUST105609,2026-02-26,Sports & Outdoors,Online,223.36
TXN500099,CUST102036,2026-02-16,Fashion,Online,80.82
TXN500100,CUST100951,2026-05-02,Beauty,In-Store,63.55
TXN500101,CUST100787,2026-07-04,Sports & Outdoors,In-Store,43.74
TXN500102,CUST104949,2025-11-09,Toys & Baby,Online,88.49
TXN500103,CUST105163,2026-07-08,Home & Living,Online,233.57
TXN500104,CUST101408,2026-07-07,Electronics,Online,804.82
TXN500105,CUST102746,2026-02-24,Fashion,Online,149.68
TXN500106,CUST103517,2025-12-03,Home & Living,In-Store,97.68
TXN500107,CUST100844,2025-12-17,Home & Living,In-Store,253.11
TXN500108,CUST105112,2025-08-03,Toys & Baby,In-Store,72.99
TXN500109,CUST102516,2025-07-30,Home & Living,In-Store,141.74
TXN500110,CUST105202,2026-03-16,Home & Living,Online,289.31
TXN500111,CUST104572,2026-02-21,Groceries,Online,21.42
TXN500112,CUST101775,2026-04-06,Fashion,In-Store,34.32
TXN500113,CUST104324,2026-01-01,Fashion,Online,41.94
TXN500114,CUST104461,2025-12-21,Toys & Baby,Online,72.46
TXN500115,CUST101872,2025-09-25,Beauty,Online,99.65
TXN500116,CUST101529,2026-03-25,Toys & Baby,In-Store,63.09
TXN500117,CUST104958,2025-11-12,Sports & Outdoors,Online,132.58
TXN500118,CUST104088,2026-06-15,Toys & Baby,In-Store,55.34
TXN500119,CUST104455,2025-08-31,Home & Living,Online,39.63
TXN500120,CUST101884,2026-06-21,Groceries,Online,50.43
TXN500121,CUST104357,2025-12-08,Fashion,In-Store,71.78
TXN500122,CUST104309,2026-06-07,Sports & Outdoors,In-Store,65.85
TXN500123,CUST102001,2025-08-21,Fashion,In-Store,18.37
TXN500124,CUST101630,2025-09-20,Sports & Outdoors,Online,89.14
TXN500125,CUST102594,2025-12-07,Groceries,Online,13.1
TXN500126,CUST104452,2026-02-27,Electronics,Online,791.48
TXN500127,CUST101169,2026-06-13,Toys & Baby,Online,95.06
TXN500128,CUST105263,2025-08-11,Groceries,Online,24.83
TXN500129,CUST101538,2026-03-26,Beauty,In-Store,44.15
TXN500130,CUST105056,2026-06-17,Groceries,In-Store,56.3
TXN500131,CUST100940,2026-02-10,Toys & Baby,In-Store,32.72
TXN500132,CUST104454,2026-07-07,Fashion,In-Store,58.88
TXN500133,CUST103379,2025-10-10,Groceries,Online,15.17
TXN500134,CUST103989,2026-02-25,Sports & Outdoors,In-Store,105.14
TXN500135,CUST105844,2026-04-12,Toys & Baby,Online,19.53
TXN500136,CUST100323,2026-04-27,Beauty,Online,59.84
TXN500137,CUST100901,2026-01-31,Sports & Outdoors,In-Store,193.87
TXN500138,CUST100483,2026-06-29,Beauty,Online,88.99
TXN500139,CUST103112,2026-05-09,Toys & Baby,In-Store,10.9
TXN500140,CUST104839,2026-03-30,Toys & Baby,Online,92.83
TXN500141,CUST100338,2026-03-15,Fashion,Online,105.76
TXN500142,CUST104692,2026-07-24,Groceries,Online,12.97
TXN500143,CUST102605,2026-04-18,Toys & Baby,Online,14.22
TXN500144,CUST105659,2026-03-12,Groceries,In-Store,6.97
TXN500145,CUST102298,2025-08-21,Beauty,Online,14.91
TXN500146,CUST105912,2025-09-08,Toys & Baby,In-Store,43.32
TXN500147,CUST103347,2025-09-02,Sports & Outdoors,In-Store,215.26
TXN500148,CUST105943,2026-05-25,Beauty,Online,32.83
TXN500149,CUST103808,2025-11-05,Fashion,Online,101.48
