feature,importance
frequency,0.3332322344840254
categories_purchased,0.19552205661374575
monetary_sgd,0.17019607226089942
avg_basket_sgd,0.09383922057666667
tenure_days,0.06444768988005824
segment_Budget,0.043894900347073815
segment_Premium,0.03050801304405437
segment_Mainstream,0.012695153235685422
country_Indonesia,0.009887468193335362
age_group_25-34,0.008063591936800925
country_Singapore,0.007919119025410808
country_Malaysia,0.006367928702191014
age_group_35-44,0.0060723925440583845
age_group_45-54,0.005238302461250021
age_group_18-24,0.005226906878217107
country_Thailand,0.004352963900076977
age_group_55+,0.0025359859164503754
